,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,City_Mileage,ARAI_Certified_Mileage,Front_Brakes,Rear_Brakes,Power,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,Airbags,Number_of_Airbags
276,Maruti Suzuki,Baleno,1.2 Alpha Cvt,"Rs. 8,90,212",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,195/55R16,"Driver frontal airbag, Front passenger frontal airbag",2
277,Maruti Suzuki,Baleno,1.2 Delta,"Rs. 6,36,612",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
278,Maruti Suzuki,Baleno,1.2 Delta Cvt,"Rs. 7,68,612",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.04 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
279,Maruti Suzuki,Baleno,1.2 Sigma,"Rs. 5,58,602",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
280,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,195/55R16,"Driver frontal airbag, Front passenger frontal airbag",2
281,Maruti Suzuki,Baleno,1.2 Delta Dualjet,"Rs. 7,33,412",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
282,Maruti Suzuki,Baleno,1.2 Zeta Dualjet,"Rs. 7,89,912",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,195/55R16,"Driver frontal airbag, Front passenger frontal airbag",2
283,Maruti Suzuki,Baleno,1.2 Zeta Cvt,"Rs. 8,29,912",1197 cc,4,In-line,BS 6,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.04 km/litre,Ventilated Disc,Drum,83 Bhp@6000rpm,5,Fabric,2520 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
284,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Petrol,Hatchback,18.9 km/litre,18.9 km/litre,Solid Disc,Drum,83PS@6000rpm,5,Fabric,2425 mm,165/65R14,"Front passenger frontal airbag, Driver frontal airbag",2
285,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz,"Rs. 6,20,637",1197 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Petrol,Hatchback,18.9 km/litre,19.77 km/litre,Solid Disc,Drum,83PS@6000rpm,5,Fabric,2425 mm,165/65R14,"Driver frontal airbag, Front passenger frontal airbag",2
